eta, gamma, epsilon, mds, mys, mss, mean, 50_perc, 80_perc, max, death_mode, 30_mean, 30_50_perc, 30_80_perc, 30_max, 30_death_mode, 30_low_mean, 30_low_50_perc, 30_low_80_perc, 30_low_max, 30_low_death_mode, 30_high_mean, 30_high_50_perc, 30_high_80_perc, 30_high_max, 30_high_death_mode
1,1,0.9,50,35,1,0.5,0.0,1.0,6.0,tree_top,0.571428571429,0.0,1.0,6.0,tree_top,0.409090909091,0.0,1.0,2.0,tree_top,0.846153846154,0.0,1.0,6.0,tree_bot
1,1,0.9,50,35,2,1.02,0.0,1.0,12.0,tree_top,1.21428571429,0.0,2.0,12.0,tree_top,0.428571428571,0.0,1.0,2.0,tree_top,2.0,1.0,4.0,12.0,tree_top
1,1,0.9,50,35,3,1.5,1.0,1.2,25.0,tree_top,2.05714285714,1.0,2.0,25.0,tree_top,0.516129032258,1.0,1.0,1.0,tree_top,3.28205128205,1.0,4.8,25.0,off_bot
1,1,0.9,50,25,1,0.5,0.0,1.0,3.0,tree_top,0.585714285714,0.0,1.0,3.0,tree_top,0.46511627907,0.0,1.0,2.0,tree_top,0.777777777778,0.0,2.0,3.0,off_bot
1,1,0.9,50,25,2,0.82,0.0,1.0,9.0,tree_top,1.04285714286,1.0,1.0,9.0,tree_top,0.621621621622,1.0,1.0,2.0,tree_top,1.51515151515,1.0,2.0,9.0,tree_top
1,1,0.9,50,25,3,0.53,0.0,1.0,5.0,tree_top,0.642857142857,0.0,1.0,5.0,tree_top,0.428571428571,0.0,1.0,3.0,tree_top,0.964285714286,1.0,1.6,5.0,tree_top
1,1,0.9,50,15,1,0.53,0.0,1.0,4.0,tree_top,0.6,0.0,1.0,4.0,tree_top,0.513513513514,0.0,1.0,3.0,tree_top,0.69696969697,0.0,1.0,4.0,tree_bot
1,1,0.9,50,15,2,0.47,0.0,1.0,2.0,tree_top,0.585714285714,0.0,1.0,2.0,tree_top,0.5,0.0,1.0,2.0,tree_top,0.676470588235,1.0,1.0,2.0,off_bot
1,1,0.9,50,15,3,0.74,0.0,1.0,7.0,tree_top,0.914285714286,1.0,1.2,7.0,tree_top,0.585365853659,0.0,1.0,2.0,tree_top,1.37931034483,1.0,2.0,7.0,off_bot
1,1,0.9,50,10,1,0.34,0.0,1.0,2.0,tree_top,0.371428571429,0.0,1.0,2.0,tree_top,0.405405405405,0.0,1.0,2.0,tree_top,0.333333333333,0.0,1.0,2.0,tree_bot
1,1,0.9,50,10,2,0.41,0.0,1.0,4.0,tree_top,0.4,0.0,1.0,4.0,tree_top,0.314285714286,0.0,1.0,1.0,tree_top,0.485714285714,0.0,1.0,4.0,tree_bot
1,1,0.9,50,10,3,0.54,0.0,1.0,2.0,tree_top,0.5,0.0,1.0,2.0,tree_top,0.612903225806,1.0,1.0,2.0,tree_top,0.410256410256,0.0,1.0,2.0,tree_bot
1,1,0.9,40,35,1,0.95,0.0,1.0,13.0,tree_top,1.25714285714,1.0,2.0,13.0,tree_top,0.333333333333,0.0,1.0,2.0,tree_top,1.95,1.0,3.0,13.0,tree_top
1,1,0.9,40,35,2,0.97,0.0,1.0,10.0,tree_top,1.32857142857,1.0,2.0,10.0,tree_top,0.6875,1.0,1.0,3.0,tree_top,1.86842105263,1.0,2.6,10.0,off_bot
