eta, gamma, epsilon, mds, mys, mss, thresh, mean, 50_perc, 80_perc, max, death_mode, 30_mean, 30_50_perc, 30_80_perc, 30_max, 30_death_mode, 30_low_mean, 30_low_50_perc, 30_low_80_perc, 30_low_max, 30_low_death_mode, 30_high_mean, 30_high_50_perc, 30_high_80_perc, 30_high_max, 30_high_death_mode
0.1,1,0.225,119,36,56,0.001,93.87,2.0,33.4,1769.0,tree_top,133.542857143,2.5,137.0,1769.0,tree_top,1.05263157895,1.0,2.0,3.0,tree_top,290.875,79.5,530.4,1769.0,tree_top
0.1,1,0.225,119,36,56,0.001,51.62,1.0,85.0,893.0,tree_top,73.3857142857,2.5,106.8,893.0,tree_top,1.09375,1.0,1.0,2.0,tree_top,134.263157895,96.0,183.6,893.0,tree_bot
0.1,1,0.225,119,36,56,0.001,29.29,2.0,42.4,258.0,tree_top,41.1857142857,3.5,62.2,258.0,tree_top,1.40540540541,1.0,2.0,5.0,tree_top,85.7878787879,54.0,163.6,258.0,off_bot
0.1,1,0.225,119,36,56,0.001,120.78,2.0,192.0,1482.0,tree_top,172.2,39.5,255.6,1482.0,tree_top,1.26923076923,1.0,2.0,4.0,tree_top,273.204545455,181.5,370.0,1482.0,tree_top
0.1,1,0.225,119,36,56,0.001,109.95,1.0,119.0,2111.0,tree_top,156.628571429,3.0,201.6,2111.0,tree_top,1.42105263158,1.0,2.6,5.0,tree_top,340.9375,193.5,408.0,2111.0,tree_top
0.1,1,0.225,119,36,56,0.001,106.93,2.0,85.8,1218.0,tree_top,152.314285714,4.0,266.2,1218.0,tree_top,1.90625,1.5,3.0,5.0,tree_top,278.973684211,106.0,626.6,1218.0,tree_top
0.1,1,0.225,119,36,56,0.001,30.94,1.0,21.4,409.0,tree_top,43.7,2.0,59.6,409.0,tree_top,1.13513513514,1.0,2.0,4.0,tree_top,91.4242424242,36.0,143.6,409.0,tree_top
0.1,1,0.225,119,36,56,0.001,101.7,2.0,193.8,910.0,tree_top,144.942857143,3.5,269.4,910.0,tree_top,1.25714285714,1.0,2.0,8.0,tree_top,288.628571429,206.0,451.6,910.0,tree_top
0.1,1,0.225,119,36,56,0.001,67.79,1.0,54.6,1018.0,tree_top,96.5285714286,2.5,151.2,1018.0,tree_top,0.969696969697,1.0,2.0,4.0,tree_top,181.756756757,75.0,302.6,1018.0,tree_top
0.1,1,0.225,119,36,56,0.001,52.17,2.0,23.2,1458.0,tree_top,74.1,2.0,70.6,1458.0,tree_top,1.51282051282,1.0,2.0,6.0,tree_top,165.419354839,66.0,250.0,1458.0,tree_top
0.1,1,0.225,119,36,56,0.001,15.63,2.0,11.2,207.0,tree_top,21.7857142857,2.0,21.0,207.0,tree_top,1.35714285714,1.0,2.0,5.0,tree_top,52.4285714286,22.5,76.4,207.0,tree_bot
0.1,1,0.225,119,36,56,0.001,84.74,2.0,58.4,1151.0,tree_top,120.628571429,3.0,141.2,1151.0,tree_top,2.17948717949,2.0,3.0,12.0,tree_top,269.64516129,129.0,421.0,1151.0,tree_top
0.1,1,0.225,119,36,56,0.001,25.66,1.0,5.0,664.0,tree_top,36.2285714286,2.0,20.2,664.0,tree_top,1.71052631579,1.5,2.0,5.0,tree_top,77.21875,14.0,78.8,664.0,tree_bot
0.1,1,0.225,119,36,56,0.001,41.01,1.0,10.0,809.0,tree_top,58.1857142857,2.0,32.6,809.0,tree_top,1.08333333333,1.0,2.0,4.0,tree_top,118.647058824,14.5,151.0,809.0,tree_top
0.1,1,0.225,119,36,56,0.001,34.44,1.5,21.4,820.0,tree_top,48.7714285714,3.0,43.8,820.0,tree_top,1.45714285714,1.0,2.0,8.0,tree_top,96.0857142857,36.0,129.6,820.0,tree_bot
0.1,1,0.225,119,36,56,0.001,110.49,2.0,88.4,2189.0,tree_top,157.228571429,6.5,205.4,2189.0,tree_top,1.8064516129,1.0,2.0,13.0,tree_top,280.769230769,94.0,391.6,2189.0,tree_top
0.1,1,0.225,119,36,56,0.001,92.09,1.0,15.6,2649.0,tree_top,131.142857143,2.0,85.8,2649.0,tree_top,0.921052631579,1.0,1.0,4.0,tree_top,285.78125,64.5,464.2,2649.0,tree_top
0.1,1,0.225,119,36,56,0.001,110.2,13.5,179.0,968.0,tree_top,118.8,9.0,179.0,968.0,tree_top,1.15151515152,1.0,2.0,3.0,tree_top,223.72972973,133.0,415.4,968.0,tree_top
0.1,1,0.225,119,36,56,0.001,48.05,2.0,36.6,1740.0,tree_top,68.2285714286,3.0,90.4,1740.0,tree_top,2.0,1.0,3.0,9.0,tree_top,161.862068966,89.0,173.8,1740.0,tree_top
0.1,1,0.225,119,36,56,0.001,45.16,2.0,13.8,888.0,tree_top,63.9714285714,2.0,92.8,888.0,tree_top,1.625,1.0,2.0,8.0,tree_top,116.473684211,17.5,225.2,888.0,tree_top
0.1,1,0.225,119,36,56,0.001,93.57,2.0,139.8,1104.0,tree_top,133.242857143,10.5,225.4,1104.0,tree_top,1.20588235294,1.0,2.0,7.0,tree_top,257.944444444,180.5,367.0,1104.0,tree_top
0.1,1,0.225,119,36,56,0.001,81.52,1.0,32.0,1721.0,tree_top,115.914285714,4.0,128.4,1721.0,tree_top,0.875,1.0,1.0,4.0,tree_top,212.789473684,40.5,328.6,1721.0,tree_top
0.1,1,0.225,119,36,56,0.001,76.09,2.0,62.4,1152.0,tree_top,107.928571429,4.0,121.6,1152.0,tree_top,1.5,1.0,2.0,8.0,tree_top,208.444444444,73.5,366.0,1152.0,tree_top
0.1,1,0.225,119,36,56,0.001,25.48,2.0,25.4,325.0,tree_top,36.0285714286,4.5,56.8,325.0,tree_top,2.08333333333,1.0,3.0,6.0,tree_top,71.9705882353,45.0,106.6,325.0,tree_top
0.1,1,0.225,119,36,56,0.001,64.0,1.0,10.2,1956.0,tree_top,91.0285714286,1.5,51.6,1956.0,tree_top,1.05263157895,1.0,1.0,4.0,tree_top,197.875,39.5,258.2,1956.0,tree_bot
0.1,1,0.225,119,36,56,0.001,66.77,2.0,23.6,1088.0,tree_top,94.9857142857,2.0,100.0,1088.0,tree_top,1.30769230769,1.0,2.0,3.0,tree_top,212.838709677,88.0,329.0,1088.0,tree_top
0.1,1,0.225,119,36,56,0.001,25.56,2.0,39.8,239.0,tree_top,35.9857142857,4.5,50.8,239.0,tree_top,1.72727272727,1.0,2.0,6.0,tree_top,66.5405405405,47.0,103.6,239.0,tree_top
0.1,1,0.225,119,36,56,0.001,36.94,1.5,44.8,350.0,tree_top,52.3142857143,3.0,88.0,350.0,tree_top,1.52631578947,1.0,2.0,5.0,tree_top,112.625,77.5,193.8,350.0,tree_top
0.1,1,0.225,119,36,56,0.001,33.72,2.0,6.0,1381.0,tree_top,47.6714285714,2.0,30.2,1381.0,tree_top,1.62162162162,1.0,2.8,4.0,tree_top,99.303030303,16.0,135.2,1381.0,tree_bot
0.1,1,0.225,119,36,56,0.001,59.05,1.0,89.6,615.0,tree_top,84.0714285714,2.5,152.8,615.0,tree_top,1.30769230769,1.0,1.4,4.0,tree_top,188.193548387,144.0,322.0,615.0,tree_top
0.1,1,0.225,119,36,56,0.001,114.28,2.0,136.8,1485.0,tree_top,162.828571429,35.5,200.0,1485.0,tree_top,1.04545454545,1.0,2.0,4.0,tree_top,236.979166667,112.0,291.0,1485.0,tree_top
0.1,1,0.225,119,36,56,0.001,122.08,2.0,139.2,2205.0,tree_top,174.057142857,4.5,282.2,2205.0,tree_top,1.48571428571,1.0,2.0,5.0,tree_top,346.628571429,171.0,541.6,2205.0,tree_top
0.1,1,0.225,119,36,56,0.001,99.43,2.0,161.0,1185.0,tree_top,141.728571429,7.5,259.8,1185.0,tree_top,1.47058823529,1.0,3.0,5.0,tree_top,274.194444444,206.5,483.0,1185.0,tree_top
0.1,1,0.225,119,36,56,0.001,80.15,2.0,193.2,700.0,tree_top,113.871428571,4.0,284.4,700.0,tree_top,1.40625,1.0,2.0,5.0,tree_top,208.578947368,209.5,333.6,700.0,tree_bot
0.1,1,0.225,119,36,56,0.001,105.24,2.0,154.4,1125.0,tree_top,149.771428571,4.0,241.6,1125.0,tree_top,1.6,1.0,2.2,4.0,tree_top,297.942857143,202.0,396.2,1125.0,tree_top
0.1,1,0.225,119,36,56,0.001,70.12,2.0,19.0,957.0,tree_top,99.8142857143,3.0,124.8,957.0,tree_top,1.59459459459,1.0,3.0,6.0,tree_top,209.939393939,59.0,467.4,957.0,tree_bot
0.1,1,0.225,119,36,56,0.001,64.82,1.0,81.2,1093.0,tree_top,92.2857142857,2.0,150.4,1093.0,tree_top,1.20512820513,1.0,2.0,3.0,tree_top,206.870967742,136.0,342.0,1093.0,tree_top
