,Score,Death
0,0.0,off_bot
1,1.0,off_bot
2,1.0,off_bot
3,1.0,tree_bot
4,0.0,tree_bot
5,0.0,tree_top
6,0.0,tree_bot
7,0.0,tree_top
8,1.0,tree_bot
9,0.0,tree_bot
10,1.0,off_bot
11,0.0,tree_bot
12,0.0,tree_bot
13,1.0,tree_bot
14,1.0,tree_bot
15,0.0,tree_bot
16,0.0,tree_bot
17,1.0,off_bot
18,0.0,off_bot
19,0.0,tree_top
20,0.0,tree_top
21,0.0,tree_bot
22,0.0,tree_bot
23,1.0,off_bot
24,1.0,off_bot
25,1.0,off_bot
26,5.0,tree_bot
27,0.0,tree_top
28,3.0,off_bot
29,0.0,tree_top
30,0.0,tree_top
31,0.0,off_bot
32,0.0,tree_top
33,2.0,off_bot
34,0.0,tree_top
35,1.0,off_bot
36,1.0,off_bot
37,1.0,off_bot
38,0.0,tree_top
39,0.0,tree_bot
40,0.0,tree_top
41,3.0,off_bot
42,1.0,tree_top
43,5.0,tree_top
44,1.0,tree_bot
45,3.0,off_bot
46,3.0,tree_top
47,0.0,tree_top
48,2.0,tree_bot
49,0.0,tree_bot
