,Score,Death
0,0.0,off_bot
1,0.0,tree_bot
2,0.0,off_bot
3,0.0,off_bot
4,1.0,off_bot
5,0.0,tree_bot
6,0.0,tree_bot
7,0.0,tree_bot
8,0.0,tree_bot
9,0.0,off_bot
10,1.0,off_bot
11,0.0,off_bot
12,1.0,tree_bot
13,0.0,off_bot
14,0.0,off_bot
15,0.0,tree_top
16,0.0,off_bot
17,0.0,off_bot
18,1.0,tree_top
19,0.0,tree_bot
20,0.0,tree_bot
21,0.0,tree_bot
22,1.0,off_bot
23,1.0,tree_bot
24,0.0,tree_bot
25,0.0,off_bot
26,0.0,tree_top
27,1.0,off_bot
28,0.0,tree_bot
29,0.0,tree_top
30,0.0,tree_top
31,1.0,off_bot
32,0.0,off_bot
33,0.0,off_bot
34,0.0,tree_top
35,0.0,off_bot
36,1.0,off_bot
37,1.0,off_bot
38,0.0,tree_bot
39,0.0,tree_bot
40,1.0,off_bot
41,0.0,off_bot
42,0.0,tree_bot
43,0.0,tree_top
44,1.0,off_bot
45,0.0,tree_bot
46,0.0,tree_bot
47,0.0,tree_bot
48,1.0,off_bot
49,0.0,off_bot
50,0.0,tree_top
51,1.0,off_bot
52,0.0,tree_bot
53,0.0,off_bot
54,1.0,off_bot
55,0.0,tree_bot
56,0.0,tree_bot
57,1.0,tree_bot
58,0.0,tree_top
59,0.0,off_bot
60,2.0,off_bot
61,0.0,tree_bot
62,0.0,tree_top
63,0.0,tree_bot
64,1.0,off_bot
65,0.0,tree_top
66,0.0,off_bot
67,0.0,tree_bot
68,0.0,tree_top
69,0.0,tree_bot
70,0.0,tree_top
71,1.0,off_bot
72,0.0,off_bot
73,1.0,off_bot
74,0.0,tree_top
75,0.0,tree_bot
76,1.0,off_bot
77,0.0,tree_top
78,0.0,tree_bot
79,0.0,tree_bot
80,1.0,off_bot
81,1.0,off_bot
82,1.0,off_bot
83,0.0,tree_bot
84,0.0,tree_bot
85,1.0,off_bot
86,1.0,off_bot
87,1.0,off_bot
88,1.0,off_bot
89,0.0,off_bot
90,2.0,tree_bot
91,0.0,tree_bot
92,1.0,off_bot
93,0.0,off_bot
94,0.0,tree_bot
95,1.0,tree_top
96,0.0,tree_bot
97,1.0,tree_top
98,0.0,tree_top
99,1.0,off_bot
100,0.0,tree_bot
101,1.0,off_bot
102,1.0,tree_top
103,1.0,off_bot
104,0.0,tree_bot
105,1.0,tree_bot
106,1.0,off_bot
107,0.0,tree_bot
108,0.0,tree_bot
109,2.0,tree_top
110,0.0,tree_bot
111,1.0,off_bot
112,0.0,tree_bot
113,0.0,tree_bot
114,1.0,off_bot
115,3.0,off_bot
116,0.0,tree_top
117,1.0,tree_bot
118,2.0,tree_bot
119,1.0,off_bot
120,1.0,tree_top
121,1.0,tree_bot
122,0.0,tree_bot
123,1.0,off_bot
124,0.0,tree_bot
125,1.0,off_bot
126,0.0,tree_top
127,0.0,tree_bot
128,0.0,off_bot
129,1.0,off_bot
130,1.0,off_bot
131,1.0,tree_bot
132,2.0,off_bot
133,2.0,tree_bot
134,0.0,tree_bot
135,0.0,tree_top
136,0.0,tree_top
137,2.0,off_bot
138,1.0,off_bot
139,0.0,tree_bot
140,2.0,tree_bot
141,0.0,tree_top
142,1.0,tree_bot
143,1.0,off_bot
144,1.0,tree_bot
145,0.0,tree_top
146,2.0,off_bot
147,0.0,tree_top
148,1.0,tree_bot
149,1.0,off_bot
150,1.0,off_bot
151,0.0,tree_bot
152,0.0,tree_bot
153,0.0,tree_bot
154,2.0,tree_bot
155,1.0,tree_bot
156,3.0,off_bot
157,2.0,off_bot
158,1.0,tree_top
159,0.0,tree_bot
160,4.0,off_bot
161,0.0,tree_bot
162,0.0,tree_bot
163,1.0,tree_top
164,0.0,tree_bot
165,0.0,tree_bot
166,0.0,tree_bot
167,0.0,tree_bot
168,1.0,off_bot
169,0.0,tree_bot
170,0.0,tree_top
171,0.0,tree_top
172,5.0,off_bot
173,1.0,tree_top
174,0.0,tree_top
175,1.0,off_bot
176,0.0,tree_top
177,1.0,off_bot
178,1.0,off_bot
179,2.0,off_bot
180,2.0,off_bot
181,2.0,tree_bot
182,1.0,off_bot
183,0.0,off_bot
184,2.0,off_bot
185,0.0,tree_top
186,0.0,tree_bot
187,3.0,off_bot
188,3.0,off_bot
189,0.0,tree_bot
190,2.0,off_bot
191,2.0,tree_bot
192,0.0,tree_bot
193,2.0,off_bot
194,0.0,tree_bot
195,0.0,tree_top
196,0.0,tree_top
197,2.0,off_bot
198,0.0,tree_top
199,0.0,tree_bot
200,2.0,off_bot
201,6.0,off_bot
202,0.0,tree_top
203,1.0,off_bot
204,1.0,off_bot
205,1.0,off_bot
206,1.0,off_bot
207,0.0,tree_bot
208,1.0,tree_top
209,7.0,tree_bot
210,1.0,off_bot
211,0.0,tree_top
212,0.0,tree_top
213,0.0,tree_top
214,2.0,off_bot
215,1.0,tree_bot
216,1.0,tree_bot
217,0.0,tree_bot
218,2.0,off_bot
219,1.0,off_bot
220,0.0,tree_bot
221,1.0,off_bot
222,1.0,off_bot
223,0.0,tree_top
224,2.0,off_bot
225,2.0,off_bot
226,1.0,off_bot
227,0.0,tree_bot
228,2.0,off_bot
229,0.0,tree_bot
230,2.0,off_bot
231,2.0,off_bot
232,0.0,tree_bot
233,1.0,off_bot
234,2.0,off_bot
235,2.0,tree_bot
236,2.0,off_bot
237,3.0,off_bot
238,1.0,off_bot
239,0.0,tree_top
240,1.0,off_bot
