,Score,Death
0,0.0,tree_top
1,0.0,off_bot
2,0.0,off_bot
3,0.0,tree_bot
4,1.0,tree_bot
5,0.0,off_bot
6,1.0,off_bot
7,1.0,off_bot
8,0.0,tree_top
9,0.0,off_bot
10,0.0,off_bot
11,0.0,tree_top
12,0.0,off_bot
13,0.0,tree_bot
14,1.0,off_bot
15,0.0,tree_top
16,0.0,off_bot
17,0.0,off_bot
18,1.0,tree_top
19,1.0,tree_bot
20,0.0,tree_bot
21,3.0,tree_top
22,1.0,off_bot
23,0.0,off_bot
24,0.0,off_bot
25,0.0,off_bot
26,0.0,tree_bot
27,0.0,off_bot
28,0.0,tree_top
29,0.0,tree_bot
30,0.0,tree_bot
31,1.0,off_bot
32,0.0,tree_bot
33,0.0,tree_top
34,0.0,tree_bot
35,0.0,off_bot
36,0.0,tree_top
37,0.0,tree_top
38,1.0,off_bot
39,0.0,tree_bot
40,0.0,off_bot
41,0.0,off_bot
42,0.0,tree_bot
43,1.0,tree_bot
44,1.0,off_bot
45,0.0,tree_top
46,1.0,off_bot
47,0.0,tree_bot
48,2.0,off_bot
49,0.0,tree_bot
50,0.0,tree_bot
51,0.0,tree_top
52,1.0,tree_top
53,0.0,tree_top
54,0.0,off_bot
55,0.0,tree_top
56,0.0,off_bot
57,1.0,off_bot
58,1.0,tree_bot
59,0.0,tree_bot
60,1.0,off_bot
61,3.0,off_bot
62,0.0,tree_bot
63,0.0,tree_bot
64,0.0,tree_bot
65,1.0,off_bot
66,1.0,off_bot
67,1.0,off_bot
68,1.0,off_bot
69,2.0,off_bot
70,2.0,off_bot
71,0.0,tree_top
72,0.0,off_bot
73,0.0,tree_bot
74,0.0,off_bot
75,1.0,tree_top
76,0.0,tree_bot
77,2.0,off_bot
78,0.0,tree_top
79,0.0,tree_bot
80,0.0,tree_bot
81,1.0,off_bot
82,2.0,off_bot
83,0.0,tree_bot
84,1.0,off_bot
85,0.0,tree_bot
86,0.0,tree_bot
87,0.0,tree_top
88,1.0,off_bot
89,1.0,off_bot
90,0.0,tree_top
91,1.0,tree_bot
92,1.0,off_bot
93,1.0,off_bot
94,0.0,tree_top
95,1.0,off_bot
96,0.0,tree_bot
97,0.0,off_bot
98,0.0,tree_bot
99,1.0,tree_bot
100,0.0,tree_bot
101,0.0,tree_top
102,0.0,tree_top
103,0.0,tree_bot
104,1.0,off_bot
105,0.0,tree_bot
106,1.0,tree_bot
107,1.0,off_bot
108,1.0,off_bot
109,0.0,tree_top
110,1.0,off_bot
111,0.0,off_bot
112,0.0,off_bot
113,0.0,tree_bot
114,1.0,off_bot
115,1.0,tree_bot
116,0.0,tree_bot
117,1.0,off_bot
118,0.0,tree_top
119,0.0,tree_bot
120,2.0,off_bot
121,0.0,tree_top
122,0.0,tree_bot
123,1.0,off_bot
124,0.0,off_bot
125,1.0,off_bot
126,1.0,tree_bot
127,2.0,tree_bot
128,0.0,tree_bot
129,1.0,off_bot
130,1.0,off_bot
131,0.0,tree_top
132,0.0,tree_bot
133,1.0,off_bot
134,1.0,off_bot
135,0.0,tree_top
136,0.0,off_bot
137,1.0,off_bot
138,1.0,tree_top
139,2.0,tree_bot
140,0.0,tree_bot
141,1.0,off_bot
142,0.0,tree_top
143,2.0,off_bot
144,2.0,off_bot
145,0.0,tree_bot
146,0.0,tree_top
147,2.0,off_bot
148,2.0,off_bot
149,0.0,tree_bot
150,1.0,tree_bot
151,0.0,tree_top
152,1.0,off_bot
153,1.0,off_bot
154,0.0,tree_bot
155,0.0,tree_bot
156,1.0,off_bot
157,0.0,tree_top
158,3.0,off_bot
159,0.0,tree_bot
160,1.0,off_bot
161,1.0,off_bot
162,0.0,off_bot
163,1.0,off_bot
164,2.0,off_bot
165,0.0,tree_top
166,3.0,off_bot
167,2.0,off_bot
168,0.0,tree_top
169,1.0,off_bot
170,1.0,tree_top
171,1.0,tree_bot
172,1.0,tree_bot
173,2.0,off_bot
174,0.0,tree_top
175,1.0,off_bot
176,2.0,off_bot
177,2.0,off_bot
178,0.0,tree_top
179,1.0,off_bot
180,0.0,tree_bot
181,2.0,off_bot
182,6.0,off_bot
