,Score,Death
281,1.0,off_bot
282,7.0,off_bot
283,1.0,off_bot
284,1.0,tree_top
285,1.0,off_bot
286,1.0,tree_bot
287,1.0,off_bot
288,4.0,off_bot
289,0.0,tree_bot
290,1.0,off_bot
291,2.0,off_bot
292,0.0,tree_top
293,1.0,off_bot
294,0.0,tree_top
295,1.0,tree_bot
296,2.0,off_bot
297,1.0,tree_bot
298,2.0,tree_bot
299,2.0,tree_top
300,0.0,tree_top
301,2.0,off_bot
302,0.0,tree_bot
303,2.0,tree_top
304,0.0,tree_top
305,0.0,tree_top
306,1.0,off_bot
307,1.0,tree_top
308,0.0,tree_top
309,0.0,tree_bot
310,5.0,off_bot
311,7.0,off_bot
312,0.0,tree_bot
313,0.0,tree_top
314,2.0,off_bot
315,0.0,tree_bot
316,2.0,off_bot
317,0.0,tree_top
318,1.0,off_bot
319,6.0,tree_bot
320,2.0,tree_top
321,2.0,off_bot
322,5.0,tree_top
323,2.0,off_bot
324,8.0,off_bot
325,0.0,tree_bot
326,0.0,off_bot
327,2.0,tree_bot
328,1.0,off_bot
329,1.0,off_bot
330,0.0,tree_bot
331,1.0,off_bot
332,6.0,tree_bot
333,8.0,off_bot
334,3.0,off_bot
335,3.0,off_bot
336,12.0,off_bot
337,0.0,tree_top
338,0.0,tree_bot
339,12.0,off_bot
340,5.0,off_bot
341,5.0,off_bot
342,1.0,tree_bot
343,2.0,off_bot
344,2.0,off_bot
345,2.0,tree_bot
346,23.0,off_bot
347,7.0,off_bot
348,3.0,off_bot
349,1.0,off_bot
350,8.0,tree_top
351,6.0,tree_bot
352,4.0,off_bot
353,10.0,off_bot
354,8.0,off_bot
355,4.0,tree_bot
356,10.0,off_bot
357,4.0,off_bot
358,5.0,off_bot
359,2.0,off_bot
360,1.0,off_bot
361,26.0,tree_bot
362,11.0,tree_bot
363,1.0,tree_bot
364,3.0,off_bot
365,1.0,off_bot
366,7.0,off_bot
367,1.0,off_bot
368,4.0,off_bot
369,5.0,off_bot
370,4.0,tree_bot
371,2.0,off_bot
372,6.0,tree_top
373,8.0,tree_top
374,9.0,off_bot
375,5.0,off_bot
376,2.0,tree_bot
377,2.0,off_bot
378,1.0,off_bot
379,4.0,off_bot
380,1.0,off_bot
381,18.0,tree_top
382,6.0,tree_top
383,7.0,off_bot
384,8.0,off_bot
385,1.0,off_bot
386,11.0,off_bot
387,22.0,tree_bot
388,1.0,off_bot
389,6.0,off_bot
390,15.0,off_bot
391,13.0,tree_bot
392,2.0,off_bot
393,7.0,tree_bot
394,8.0,tree_top
395,19.0,off_bot
396,6.0,tree_bot
397,3.0,tree_bot
398,6.0,tree_top
399,7.0,off_bot
400,6.0,tree_top
401,17.0,off_bot
402,3.0,off_bot
403,14.0,off_bot
404,11.0,off_bot
405,13.0,off_bot
406,1.0,tree_bot
407,10.0,off_bot
408,4.0,tree_top
409,0.0,tree_top
410,3.0,off_bot
411,20.0,off_bot
412,1.0,tree_bot
413,16.0,tree_bot
414,8.0,off_bot
415,7.0,tree_bot
416,17.0,off_bot
417,29.0,tree_top
418,5.0,tree_top
419,9.0,off_bot
420,8.0,off_bot
421,8.0,tree_bot
422,5.0,tree_bot
423,4.0,off_bot
424,5.0,tree_top
425,3.0,off_bot
426,19.0,off_bot
427,5.0,off_bot
428,10.0,off_bot
429,1.0,off_bot
430,20.0,off_bot
431,18.0,tree_bot
432,20.0,off_bot
433,3.0,off_bot
434,21.0,off_bot
435,29.0,off_bot
436,1.0,off_bot
437,28.0,off_bot
438,17.0,tree_bot
439,8.0,off_bot
440,20.0,tree_bot
441,14.0,off_bot
442,23.0,tree_bot
443,24.0,tree_top
444,1.0,tree_bot
445,53.0,tree_bot
446,44.0,off_bot
447,65.0,off_bot
448,9.0,tree_bot
449,39.0,off_bot
450,21.0,tree_top
451,37.0,tree_top
452,13.0,tree_top
453,2.0,off_bot
454,11.0,off_bot
455,11.0,tree_top
456,28.0,off_bot
457,10.0,tree_bot
458,73.0,tree_bot
459,8.0,tree_bot
460,45.0,off_bot
461,3.0,tree_top
462,2.0,tree_bot
463,11.0,off_bot
464,43.0,tree_bot
465,61.0,tree_top
466,22.0,off_bot
467,54.0,off_bot
468,21.0,off_bot
469,14.0,tree_bot
470,7.0,tree_top
471,16.0,tree_bot
472,27.0,off_bot
473,8.0,tree_bot
474,36.0,tree_bot
475,42.0,tree_top
476,17.0,tree_bot
477,37.0,off_bot
478,5.0,off_bot
479,10.0,off_bot
480,20.0,tree_top
481,51.0,tree_bot
482,13.0,tree_top
483,16.0,off_bot
484,16.0,off_bot
485,23.0,tree_bot
486,54.0,off_bot
487,19.0,tree_top
488,3.0,off_bot
489,144.0,off_bot
490,32.0,off_bot
