,Score,Death
0,0.0,tree_bot
1,0.0,tree_top
2,0.0,tree_bot
3,0.0,off_bot
4,0.0,tree_top
5,1.0,tree_bot
6,0.0,off_bot
7,0.0,tree_bot
8,0.0,tree_top
9,0.0,tree_top
10,1.0,off_bot
11,1.0,off_bot
12,0.0,off_bot
13,0.0,off_bot
14,1.0,off_bot
15,1.0,off_bot
16,0.0,tree_bot
17,2.0,off_bot
18,0.0,tree_bot
19,0.0,tree_bot
20,1.0,off_bot
21,1.0,off_bot
22,0.0,off_bot
23,1.0,off_bot
24,0.0,tree_bot
25,1.0,off_bot
26,1.0,off_bot
27,1.0,off_bot
28,0.0,tree_top
29,0.0,tree_top
30,1.0,off_bot
31,0.0,tree_top
32,0.0,tree_bot
33,0.0,tree_bot
34,3.0,off_bot
35,2.0,tree_bot
36,0.0,tree_top
37,1.0,tree_bot
38,2.0,off_bot
39,10.0,tree_bot
40,22.0,tree_top
41,2.0,off_bot
42,1.0,tree_top
43,16.0,tree_top
44,0.0,tree_top
45,3.0,tree_top
46,3.0,off_bot
47,1.0,off_bot
48,6.0,tree_top
49,0.0,tree_top
