,Score,Death
0,0.0,tree_bot
1,1.0,off_bot
2,0.0,off_bot
3,0.0,tree_top
4,0.0,tree_bot
5,0.0,off_bot
6,0.0,tree_bot
7,0.0,tree_top
8,0.0,tree_top
9,0.0,tree_bot
10,0.0,off_bot
11,0.0,tree_top
12,0.0,off_bot
13,0.0,tree_bot
14,0.0,tree_top
15,0.0,off_bot
16,0.0,tree_bot
17,0.0,tree_bot
18,1.0,off_bot
19,1.0,tree_bot
20,1.0,off_bot
21,0.0,tree_bot
22,1.0,off_bot
23,1.0,tree_top
24,0.0,tree_top
25,0.0,tree_bot
26,0.0,off_bot
27,0.0,tree_top
28,3.0,off_bot
29,0.0,tree_bot
30,2.0,off_bot
31,2.0,off_bot
32,2.0,off_bot
33,1.0,off_bot
34,2.0,off_bot
35,1.0,off_bot
36,0.0,tree_top
37,0.0,off_bot
38,1.0,off_bot
39,0.0,tree_top
40,0.0,tree_bot
41,1.0,off_bot
42,6.0,off_bot
43,0.0,tree_bot
44,3.0,tree_bot
45,1.0,tree_top
46,1.0,off_bot
47,1.0,tree_bot
48,4.0,off_bot
49,3.0,tree_bot
