0.1,1,0.8,119,36,56,0.008,62.19,1.0,41.6,1410.0,tree_top,88.4142857143,2.0,70.8,1410.0,tree_top,1.23076923077,1.0,2.0,4.0,tree_top,198.096774194,65.0,328.0,1410.0,tree_bot
0.1,1,0.5,119,36,56,0.008,66.28,2.0,42.2,844.0,tree_top,94.1,4.0,184.0,844.0,tree_top,1.29411764706,1.0,2.0,4.0,tree_top,181.75,70.5,302.0,844.0,tree_top
0.1,1,0.25,119,36,56,0.008,8.55,1.0,7.2,81.0,tree_top,11.2571428571,1.0,11.8,81.0,tree_top,0.631578947368,0.5,1.0,3.0,tree_top,23.875,8.0,51.8,81.0,tree_top
0.1,1,0.1,119,36,56,0.008,31.05,2.0,40.0,487.0,tree_top,43.8857142857,2.0,70.0,487.0,tree_top,1.22222222222,1.0,2.0,5.0,tree_top,89.0588235294,56.5,112.4,487.0,tree_top
0.1,1,0.8,119,36,56,0.008,25.96,1.0,14.4,409.0,tree_top,36.6285714286,2.0,28.8,409.0,tree_top,1.13157894737,1.0,2.0,5.0,tree_top,78.78125,25.0,100.2,409.0,tree_top
0.1,1,0.5,119,36,56,0.008,56.0,2.0,49.4,577.0,tree_top,79.6428571429,3.0,119.6,577.0,tree_top,1.55882352941,1.0,2.4,4.0,tree_top,153.388888889,80.0,381.0,577.0,tree_top
0.1,1,0.25,119,36,56,0.008,67.48,1.0,91.4,1110.0,tree_top,96.0571428571,2.0,156.2,1110.0,tree_top,1.13888888889,1.0,2.0,3.0,tree_top,196.558823529,125.0,285.6,1110.0,tree_top
0.1,1,0.1,119,36,56,0.008,82.48,2.0,45.8,1268.0,tree_top,117.457142857,3.0,140.4,1268.0,tree_top,1.425,1.0,2.2,5.0,tree_top,272.166666667,129.5,516.0,1268.0,tree_top
0.1,1,0.8,119,36,56,0.008,63.28,1.0,39.0,928.0,tree_top,90.0571428571,2.0,84.4,928.0,tree_top,1.25,1.0,2.0,5.0,tree_top,208.466666667,76.0,334.0,928.0,tree_bot
0.1,1,0.5,119,36,56,0.008,59.92,2.0,30.4,1275.0,tree_top,85.2571428571,3.0,135.0,1275.0,tree_top,1.58823529412,1.0,2.0,6.0,tree_top,164.277777778,48.5,245.0,1275.0,tree_bot
0.1,1,0.25,119,36,56,0.008,181.66,55.0,351.4,1513.0,tree_top,211.885714286,101.0,397.2,1513.0,tree_top,1.28,1.0,2.0,7.0,tree_top,328.888888889,264.0,504.2,1513.0,tree_top
0.1,1,0.1,119,36,56,0.008,35.95,1.0,22.6,750.0,tree_top,51.1285714286,2.0,54.2,750.0,tree_top,1.21875,1.0,2.0,3.0,tree_top,93.1578947368,29.0,146.2,750.0,tree_top
0.1,1,0.8,119,36,56,0.008,39.15,2.0,54.0,464.0,tree_top,55.5142857143,7.5,84.0,464.0,tree_top,1.86666666667,1.0,2.2,10.0,tree_top,95.75,55.5,173.4,464.0,tree_top
0.1,1,0.5,119,36,56,0.008,51.1,2.0,29.2,821.0,tree_top,72.6428571429,3.0,112.4,821.0,tree_top,2.05263157895,2.0,3.0,5.0,tree_top,156.46875,74.5,206.4,821.0,tree_top
0.1,1,0.25,119,36,56,0.008,65.42,1.5,25.8,600.0,tree_top,93.1714285714,2.0,140.8,600.0,tree_top,1.44736842105,1.0,2.0,4.0,tree_top,202.09375,84.5,436.0,600.0,tree_bot
0.1,1,0.1,119,36,56,0.008,56.39,2.0,20.8,602.0,tree_top,80.0571428571,2.0,120.8,602.0,tree_top,1.22727272727,1.0,2.0,5.0,tree_top,213.461538462,143.5,441.0,602.0,tree_top
0.1,1,0.8,119,36,56,0.008,11.42,2.0,5.2,157.0,tree_top,15.9142857143,2.0,25.4,157.0,tree_top,1.63888888889,1.0,2.0,5.0,tree_top,31.0294117647,11.5,59.8,157.0,tree_bot
0.1,1,0.5,119,36,56,0.008,62.78,1.5,64.2,799.0,tree_top,89.3857142857,3.5,127.4,799.0,tree_top,1.25806451613,1.0,2.0,3.0,tree_top,159.435897436,69.0,302.4,799.0,tree_top
0.1,1,0.25,119,36,56,0.008,140.7,2.0,298.4,1451.0,tree_top,200.442857143,19.0,368.2,1451.0,tree_top,1.10344827586,1.0,1.0,5.0,tree_top,341.43902439,296.0,613.0,1451.0,tree_top
0.1,1,0.1,119,36,56,0.008,5.48,2.0,8.4,46.0,tree_top,7.5,3.0,15.0,46.0,tree_top,1.51515151515,1.0,2.0,6.0,tree_top,12.8378378378,12.0,21.4,46.0,tree_top
0.1,1,0.8,119,36,56,0.008,80.24,1.0,101.8,927.0,tree_top,114.4,1.0,238.0,927.0,tree_top,1.02857142857,1.0,1.0,3.0,tree_top,227.771428571,158.0,376.0,927.0,tree_top
0.1,1,0.5,119,36,56,0.008,99.73,1.0,145.2,2246.0,tree_top,141.885714286,2.0,182.6,2246.0,tree_top,0.948717948718,1.0,1.4,3.0,tree_top,319.193548387,166.0,469.0,2246.0,tree_top
0.1,1,0.25,119,36,56,0.008,186.07,10.0,393.8,1528.0,tree_top,178.428571429,5.0,371.2,1528.0,tree_top,1.44117647059,1.0,2.0,5.0,tree_top,345.583333333,315.5,559.0,1528.0,tree_top
0.1,1,0.1,119,36,56,0.008,21.26,2.0,5.0,440.0,tree_top,29.9285714286,2.0,17.8,440.0,tree_top,1.87179487179,1.0,3.0,9.0,tree_top,65.2258064516,12.0,141.0,440.0,tree_top
